epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.5087,1.22687,7.13896,0.01177,0.00399,0.22835,0.04124,0.02579,0.87575,7.1227,0.01199,0.000206163,0.000206163,0.000206163
2,35.2226,1.06804,6.21998,0.00851,0.72417,0.0419,0.07733,0.04626,1.05997,6.32103,0.01587,0.000380301,0.000380301,0.000380301
3,50.967,1.09906,5.75743,0.00933,0.65808,0.10331,0.08837,0.05591,1.0118,6.02831,0.01517,0.000520063,0.000520063,0.000520063
4,66.0243,1.12105,5.11277,0.00944,0.68641,0.12152,0.10388,0.06535,1.01091,5.70532,0.01592,0.000470312,0.000470312,0.000470312
5,81.5292,1.10103,4.75077,0.00889,0.67297,0.10214,0.11252,0.06949,0.9683,5.59498,0.01599,0.00041875,0.00041875,0.00041875
6,96.6024,1.09093,4.54331,0.00885,0.70167,0.15638,0.14026,0.09105,0.95714,5.29566,0.0146,0.000367187,0.000367187,0.000367187
7,111.563,1.07431,4.38914,0.009,0.69147,0.15352,0.14356,0.09251,0.98389,5.08746,0.01678,0.000315625,0.000315625,0.000315625
8,126.287,1.03504,4.10405,0.00872,0.71891,0.15994,0.15999,0.10449,0.95732,4.98402,0.01485,0.000264062,0.000264062,0.000264062
9,140.336,1.02337,4.16775,0.00875,0.73471,0.16967,0.16157,0.10349,0.94432,4.88865,0.01637,0.0002125,0.0002125,0.0002125
10,154.493,1.02032,4.22146,0.00889,0.7457,0.16774,0.17222,0.11373,0.8918,4.7533,0.0139,0.000160938,0.000160938,0.000160938
11,188.797,1.12549,7.00184,0.01313,0.73209,0.16574,0.16401,0.10779,0.96038,4.88142,0.01599,0.000109375,0.000109375,0.000109375
12,202.534,1.0853,6.68146,0.01167,0.72045,0.16966,0.16253,0.10856,0.95381,4.86974,0.01622,5.78125e-05,5.78125e-05,5.78125e-05
